,time,wind10,angle10,wind30,angle30,wind50,angle50,temp,atmosphere,humidity,power
21,2019-01-01 05:15:00,2.174,75.353,2.274,75.561,2.444,82.0,-14.828,889.917,69.024,0.301991
22,2019-01-01 05:30:00,2.261,97.527,3.04,91.358,2.721,101.367,-14.599,890.258,69.717,0.297017
23,2019-01-01 05:45:00,1.376,70.308,1.588,67.462,1.987,74.733,-14.481,890.033,70.784,0.267173
24,2019-01-01 06:00:00,1.473,75.58,1.699,71.661,2.187,79.0,-14.433,889.85,71.168,0.153482
25,2019-01-01 06:15:00,2.057,34.532,2.056,34.496,2.297,46.7,-14.724,889.842,71.189,0.266463
26,2019-01-01 06:30:00,1.834,46.267,1.677,46.142,2.186,56.833,-14.474,889.8,70.4,0.04974
27,2019-01-01 06:45:00,1.917,97.82,2.332,94.707,2.974,99.7,-14.291,889.975,68.48,0.674328
28,2019-01-01 07:00:00,1.122,110.0,1.073,105.682,1.806,97.7,-14.266,889.767,66.549,1.227149
29,2019-01-01 07:15:00,0.977,116.36,1.313,96.23,1.662,96.533,-13.841,889.75,64.821,0.508766
30,2019-01-01 07:30:00,2.694,113.333,2.717,102.112,2.784,106.233,-13.983,889.9,63.947,0.95358
31,2019-01-01 07:45:00,2.499,95.043,2.598,91.68,2.671,96.933,-13.68,889.867,62.859,0.542162
32,2019-01-01 08:00:00,1.913,87.733,1.867,88.837,1.797,97.967,-13.916,889.383,61.984,0.241593
33,2019-01-01 08:15:00,1.297,88.65,1.214,85.23,1.263,90.0,-13.722,889.417,61.365,0.352441
34,2019-01-01 08:30:00,1.643,78.28,1.513,80.258,1.634,81.467,-13.812,889.725,61.675,0.362389
35,2019-01-01 08:45:00,1.814,107.503,1.81,104.098,2.113,110.367,-13.81,889.908,61.611,0.287069
36,2019-01-01 09:00:00,2.227,103.157,2.336,102.96,2.407,111.2,-13.56,889.792,61.696,0.284227
37,2019-01-01 09:15:00,1.81,96.757,1.762,90.972,1.941,99.167,-13.747,889.658,62.251,0.181905
38,2019-01-01 09:30:00,2.619,73.693,2.358,71.625,2.366,78.2,-13.503,889.925,62.144,0.131455
39,2019-01-01 09:45:00,2.729,69.217,2.628,62.084,2.481,68.767,-13.71,889.942,67.787,0.121507
40,2019-01-01 10:00:00,2.26,56.47,2.121,52.95,2.224,61.467,-13.728,889.767,76.192,0.265752
41,2019-01-01 10:15:00,3.067,77.577,2.988,72.836,3.049,77.867,-13.597,889.854,82.315,0.795835
42,2019-01-01 10:30:00,2.638,84.273,2.55,79.24,2.563,84.467,-13.466,889.854,84.117,0.588349
43,2019-01-01 10:45:00,2.635,92.683,2.274,89.67,2.234,89.7,-13.672,889.988,84.203,0.553532
44,2019-01-01 11:00:00,1.958,94.503,1.6,87.088,1.596,91.2,-13.334,889.871,81.781,0.2757
45,2019-01-01 11:15:00,1.269,107.687,1.133,100.618,1.149,102.767,-13.19,889.525,79.573,0.245146
46,2019-01-01 11:30:00,1.636,66.913,1.564,65.456,1.379,75.333,-13.203,889.933,76.939,0.35102
47,2019-01-01 11:45:00,2.378,82.067,2.393,78.007,2.45,82.3,-12.72,889.858,74.912,0.339651
48,2019-01-01 12:00:00,2.687,103.5,2.601,93.356,2.503,94.767,-12.703,890.075,72.96,0.299149
49,2019-01-01 12:15:00,2.888,89.933,3.071,85.013,3.092,89.2,-12.57,889.533,69.973,0.46329
50,2019-01-01 12:30:00,3.177,84.7,3.245,78.421,3.372,82.567,-12.536,889.392,67.189,2.070591
51,2019-01-01 12:45:00,3.314,81.132,3.459,71.387,3.522,74.433,-12.386,890.192,64.469,1.792049
52,2019-01-01 13:00:00,2.756,78.667,2.813,72.492,3.078,78.6,-12.316,889.683,65.824,1.273335
53,2019-01-01 13:15:00,2.487,70.896,2.357,64.337,2.459,72.267,-11.899,889.825,64.352,0.439841
54,2019-01-01 13:30:00,3.21,67.422,3.388,65.041,3.68,70.633,-11.278,889.825,63.627,1.033874
55,2019-01-01 13:45:00,1.993,80.812,2.157,71.813,2.3,80.233,-11.411,890.125,62.496,0.972055
56,2019-01-01 14:00:00,2.14,64.878,2.3,57.521,2.526,63.033,-11.378,889.917,66.133,0.340361
57,2019-01-01 14:15:00,2.943,68.45,3.031,59.744,3.013,68.033,-11.445,889.983,66.837,0.548558
58,2019-01-01 14:30:00,2.37,62.478,2.374,57.272,2.713,70.067,-11.511,889.75,67.925,0.169115
59,2019-01-01 14:45:00,1.907,63.694,1.902,60.296,1.91,61.933,-11.445,890.133,68.416,0.154904
60,2019-01-01 15:00:00,3.155,53.78,2.893,45.962,3.026,52.533,-11.174,889.792,69.088,0.059688
61,2019-01-01 15:15:00,3.432,35.913,3.31,34.052,3.203,39.733,-11.878,889.975,72.853,0.182616
62,2019-01-01 15:30:00,3.228,24.594,3.24,23.524,3.197,29.967,-12.236,889.867,74.443,0.638089
63,2019-01-01 15:45:00,3.24,25.227,3.138,21.696,3.328,25.367,-12.386,889.758,76.341,0.960686
64,2019-01-01 16:00:00,3.127,35.976,3.037,28.008,3.027,32.0,-12.636,890.0,77.067,0.818573
65,2019-01-01 16:15:00,3.281,29.437,3.044,19.921,3.159,25.0,-12.67,889.925,78.603,0.16272
66,2019-01-01 16:30:00,2.557,12.549,2.407,9.637,2.531,13.333,-12.72,889.808,78.645,0.07461
67,2019-01-01 16:45:00,2.477,48.083,2.372,41.368,2.575,43.167,-12.62,889.983,79.403,0.285648
68,2019-01-01 17:00:00,1.564,48.717,1.496,48.241,1.55,52.533,-12.486,890.0,79.115,0.36381
69,2019-01-01 17:15:00,0.0,39.05,0.0,48.116,0.0,55.8,-12.62,890.042,78.944,0.341072
70,2019-01-01 17:30:00,0.056,39.05,0.0,48.134,0.0,55.967,-12.686,890.008,78.144,0.341072
71,2019-01-01 17:45:00,0.073,39.05,0.0,48.129,0.0,55.933,-12.67,889.867,78.101,0.341072
72,2019-01-01 18:00:00,0.0,39.05,0.0,48.13,0.0,56.0,-12.853,889.875,79.029,0.341072
73,2019-01-01 18:15:00,0.0,39.05,0.0,48.122,0.0,55.9,-12.67,889.758,80.149,0.341072
74,2019-01-01 18:30:00,0.0,39.05,0.0,48.135,0.0,55.967,-12.786,889.583,81.237,0.341072
75,2019-01-01 18:45:00,0.48,39.05,0.276,48.126,0.213,55.933,-12.703,889.946,82.219,0.341072
76,2019-01-01 19:00:00,0.712,39.683,0.233,48.109,0.0,62.567,-13.086,889.692,83.328,0.341072
77,2019-01-01 19:15:00,0.379,33.539,0.19,48.124,0.063,55.9,-13.186,890.154,83.712,0.341072
78,2019-01-01 19:30:00,1.52,56.05,1.273,47.252,1.314,57.033,-12.97,889.608,84.16,0.336809
79,2019-01-01 19:45:00,0.867,45.055,0.443,42.136,0.379,55.0,-13.122,890.104,84.736,0.328282
80,2019-01-01 20:00:00,1.069,72.135,0.91,50.079,0.503,81.667,-13.484,889.858,85.205,0.335387
81,2019-01-01 20:15:00,1.452,75.23,1.265,79.923,1.058,92.433,-13.447,889.804,86.869,0.339651
82,2019-01-01 20:30:00,1.708,65.483,1.652,62.124,1.6,80.067,-13.672,889.483,87.339,0.341072
83,2019-01-01 20:45:00,1.152,62.2,1.445,59.141,1.564,78.0,-14.049,890.379,86.485,0.33823
84,2019-01-01 21:00:00,0.987,63.173,1.281,66.264,1.329,92.433,-14.099,889.746,87.616,0.341072
85,2019-01-01 21:15:00,0.0,69.387,0.04,63.076,0.475,86.067,-14.516,889.55,87.381,0.341072
86,2019-01-01 21:30:00,0.0,68.2,0.0,62.112,0.0,82.967,-14.891,889.883,86.293,0.339651
87,2019-01-01 21:45:00,0.0,68.293,0.0,62.609,0.0,82.867,-14.599,889.742,87.339,0.328282
88,2019-01-01 22:00:00,0.0,68.2,0.0,62.479,0.0,82.867,-14.891,889.996,87.488,0.335387
89,2019-01-01 22:15:00,0.0,153.047,0.0,62.966,0.0,83.0,-14.787,889.817,87.424,0.342493
90,2019-01-01 22:30:00,0.646,182.347,0.0,75.036,0.0,83.8,-14.558,889.979,86.827,0.343914
91,2019-01-01 22:45:00,0.472,181.007,0.0,107.248,0.0,124.933,-14.499,889.738,86.635,0.335387
92,2019-01-01 23:00:00,0.555,180.307,0.0,107.252,0.0,125.0,-14.362,890.033,86.101,0.341072
93,2019-01-01 23:15:00,0.0,179.867,0.0,107.229,0.0,124.933,-14.266,889.779,85.568,0.342493
94,2019-01-01 23:30:00,0.0,180.64,0.0,107.265,0.0,125.0,-14.62,889.708,85.995,0.342493
95,2019-01-01 23:45:00,0.0,180.747,0.0,107.271,0.0,125.0,-14.249,889.817,85.973,0.342493
96,2019-01-02 00:00:00,0.0,180.8,0.0,107.273,0.0,125.0,-14.116,890.112,85.717,0.341072
97,2019-01-02 00:15:00,0.0,180.8,0.0,107.295,0.0,124.0,-14.049,890.171,85.675,0.342493
98,2019-01-02 00:30:00,0.0,180.653,0.0,107.237,0.0,123.867,-14.495,890.133,85.483,0.341072
99,2019-01-02 00:45:00,0.0,180.56,0.0,107.345,0.0,124.1,-14.641,889.908,85.888,0.341072
100,2019-01-02 01:00:00,0.0,180.467,0.0,107.337,0.0,124.0,-14.891,889.867,85.781,0.341072
101,2019-01-02 01:15:00,0.0,180.6,0.0,107.279,0.0,124.033,-14.749,890.35,85.419,0.342493
102,2019-01-02 01:30:00,0.0,207.4,0.0,111.769,0.0,124.967,-15.141,889.879,85.867,0.341072
103,2019-01-02 01:45:00,0.958,197.627,0.0,162.12,0.0,125.0,-15.083,890.092,85.525,0.341072
104,2019-01-02 02:00:00,0.027,210.5,0.0,166.535,0.0,125.067,-15.091,890.004,85.525,0.341072
105,2019-01-02 02:15:00,0.978,227.333,0.0,166.5,0.0,125.067,-15.424,889.996,84.779,0.341072
106,2019-01-02 02:30:00,1.613,226.387,0.0,171.082,0.0,125.2,-16.339,889.833,84.224,0.342493
107,2019-01-02 02:45:00,1.145,235.187,0.0,192.448,0.0,125.333,-15.862,890.183,84.843,0.341072
108,2019-01-02 03:00:00,1.534,219.6,0.0,192.364,0.0,131.8,-15.808,890.017,84.949,0.343914
109,2019-01-02 03:15:00,1.793,226.533,0.0,195.53,0.0,203.5,-15.341,890.271,85.184,0.342493
110,2019-01-02 03:30:00,1.679,224.333,0.0,195.482,0.0,203.7,-15.174,890.3,84.608,0.342493
111,2019-01-02 03:45:00,1.304,217.767,0.0,195.576,0.0,203.567,-15.474,889.883,84.928,0.341072
112,2019-01-02 04:00:00,1.257,219.9,0.0,195.53,0.0,203.6,-14.991,890.242,85.504,0.343914
113,2019-01-02 04:15:00,0.156,217.333,0.0,195.595,0.0,203.267,-15.274,889.929,85.269,0.342493
114,2019-01-02 04:30:00,0.143,212.8,0.0,195.525,0.0,203.033,-15.391,889.921,84.672,0.341072
115,2019-01-02 04:45:00,0.482,212.8,0.0,193.448,0.0,203.1,-15.574,890.017,84.011,0.342493
116,2019-01-02 05:00:00,0.0,206.4,0.0,149.81,0.0,130.933,-15.308,889.367,84.843,0.343914
117,2019-01-02 05:15:00,1.411,165.833,0.0,125.221,0.549,118.0,-15.241,889.888,85.184,0.348178
118,2019-01-02 05:30:00,1.205,174.567,0.0,125.209,0.0,118.267,-15.574,889.842,84.757,0.348178
119,2019-01-02 05:45:00,1.378,166.467,0.0,125.263,0.073,118.2,-15.741,889.992,84.757,0.346757
120,2019-01-02 06:00:00,0.465,160.033,0.0,124.766,0.27,108.0,-15.708,889.933,85.547,0.352441
121,2019-01-02 06:15:00,1.173,168.2,0.0,125.22,0.127,113.0,-15.691,889.8,85.397,0.356704
122,2019-01-02 06:30:00,0.389,188.267,0.0,147.526,0.0,112.867,-15.558,889.904,85.419,0.341072
123,2019-01-02 06:45:00,0.0,202.4,0.0,147.498,0.0,112.967,-15.641,889.729,85.419,0.345335
124,2019-01-02 07:00:00,0.12,231.067,0.0,147.68,0.0,113.0,-15.824,889.825,84.928,0.343914
125,2019-01-02 07:15:00,0.406,219.667,0.0,147.484,0.0,112.933,-15.558,890.121,85.013,0.345335
126,2019-01-02 07:30:00,1.08,234.0,0.0,147.429,0.0,112.9,-15.891,889.533,84.715,0.343914
127,2019-01-02 07:45:00,0.958,237.367,0.0,147.568,0.0,113.0,-15.914,889.938,84.629,0.345335
128,2019-01-02 08:00:00,1.556,237.367,0.0,147.552,0.0,113.033,-15.674,889.733,85.355,0.345335
129,2019-01-02 08:15:00,1.886,216.7,0.0,164.002,0.83,167.1,-14.891,890.275,86.08,0.345335
130,2019-01-02 08:30:00,2.15,230.647,0.0,193.949,0.13,171.967,-14.937,890.112,85.013,0.348178
131,2019-01-02 08:45:00,1.558,224.1,0.0,195.523,0.0,172.0,-15.358,889.904,84.971,0.343914
132,2019-01-02 09:00:00,1.196,219.933,0.0,195.465,0.0,172.0,-14.891,889.542,85.44,0.341072
133,2019-01-02 09:15:00,1.04,219.72,0.0,195.453,0.0,172.0,-14.891,889.775,84.949,0.345335
134,2019-01-02 09:30:00,0.898,219.56,0.0,195.465,0.0,172.0,-14.624,890.012,85.717,0.345335
135,2019-01-02 09:45:00,0.093,220.6,0.0,195.441,0.0,172.0,-13.595,890.042,85.504,0.345335
136,2019-01-02 10:00:00,0.0,220.8,0.0,195.396,0.0,172.033,-14.183,889.933,84.821,0.343914
137,2019-01-02 10:15:00,0.0,220.2,0.0,195.496,0.0,172.0,-13.086,889.754,85.461,0.343914
138,2019-01-02 10:30:00,0.835,217.5,0.0,193.348,0.0,171.4,-11.261,889.962,85.141,0.343914
139,2019-01-02 10:45:00,1.154,207.34,0.0,188.646,0.0,170.767,-10.834,890.029,84.501,0.341072
140,2019-01-02 11:00:00,0.974,207.08,0.0,188.636,0.0,170.8,-9.891,890.038,84.373,0.345335
141,2019-01-02 11:15:00,1.942,212.213,0.0,188.728,0.0,171.0,-9.683,890.262,83.712,0.342493
142,2019-01-02 11:30:00,1.304,214.4,0.0,188.716,0.0,171.0,-9.291,889.804,83.307,0.342493
143,2019-01-02 11:45:00,0.14,214.593,0.0,188.542,0.0,170.967,-7.294,889.767,78.165,0.341072
144,2019-01-02 12:00:00,0.0,215.0,0.0,188.413,0.0,171.0,-6.445,889.567,69.451,0.341072
145,2019-01-02 12:15:00,0.0,214.067,0.0,188.593,0.0,170.833,-3.723,889.633,68.48,0.341072
146,2019-01-02 12:30:00,0.0,213.973,0.0,188.597,0.0,170.9,-3.875,889.8,61.227,0.341072
147,2019-01-02 12:45:00,0.0,214.2,0.0,188.464,0.0,171.0,-2.818,889.975,53.099,0.341072
148,2019-01-02 13:00:00,0.0,214.107,0.0,188.597,0.077,171.0,-3.097,889.475,51.712,0.341072
149,2019-01-02 13:15:00,0.0,214.0,0.0,188.85,0.0,171.0,-3.606,889.55,48.064,0.329703
150,2019-01-02 13:30:00,0.0,214.0,0.0,188.611,0.0,171.0,-3.823,889.792,47.285,0.328282
151,2019-01-02 13:45:00,0.0,214.333,0.0,188.449,0.0,171.0,-3.656,890.517,47.456,0.341072
152,2019-01-02 14:00:00,0.0,214.073,0.0,188.354,0.0,171.067,-3.742,889.758,47.2,0.341072
153,2019-01-02 14:15:00,0.0,214.353,0.0,188.519,0.0,170.9,-6.123,889.583,49.013,0.339651
154,2019-01-02 14:30:00,0.323,99.41,0.0,143.905,0.0,170.367,-8.13,889.85,52.277,0.341072
155,2019-01-02 14:45:00,1.228,77.513,0.506,84.356,0.537,109.133,-9.595,890.158,58.251,0.341072
156,2019-01-02 15:00:00,1.523,102.84,1.31,87.356,1.206,94.0,-10.095,890.683,63.413,0.336809
157,2019-01-02 15:15:00,1.31,87.333,0.912,81.578,0.943,92.533,-10.166,889.975,66.912,0.339651
158,2019-01-02 15:30:00,1.353,93.0,1.294,92.782,1.414,101.833,-10.333,889.767,68.523,0.335387
159,2019-01-02 15:45:00,1.45,91.56,1.113,98.314,1.279,111.7,-10.766,889.85,70.037,0.341072
160,2019-01-02 16:00:00,1.936,68.117,1.619,69.326,1.08,83.0,-10.816,889.583,70.112,0.341072
161,2019-01-02 16:15:00,2.45,58.832,2.194,53.463,2.003,59.6,-11.395,890.142,70.4,0.341072
162,2019-01-02 16:30:00,2.348,58.482,2.195,60.227,2.085,66.0,-12.103,889.833,71.787,0.343914
163,2019-01-02 16:45:00,2.158,65.567,1.995,62.922,2.26,74.433,-12.67,889.817,73.269,0.296307
164,2019-01-02 17:00:00,1.85,82.067,1.767,73.503,2.084,80.0,-13.036,889.683,76.288,0.341072
165,2019-01-02 17:15:00,1.196,83.1,0.944,85.815,1.164,93.567,-12.886,889.792,78.432,0.341072
166,2019-01-02 17:30:00,1.309,105.63,1.381,102.493,1.681,118.867,-13.447,889.967,79.509,0.341072
167,2019-01-02 17:45:00,1.025,133.013,1.322,128.551,1.676,146.5,-13.635,890.012,82.731,0.342493
168,2019-01-02 18:00:00,1.446,136.733,1.594,142.572,2.071,149.5,-13.756,889.692,84.395,0.345335
169,2019-01-02 18:15:00,1.36,141.833,1.83,142.582,2.356,154.0,-14.016,889.733,85.781,0.355283
170,2019-01-02 18:30:00,0.087,142.8,1.42,157.578,2.238,155.1,-14.016,889.579,85.355,0.35102
171,2019-01-02 18:45:00,2.004,183.467,1.599,153.229,1.646,155.067,-14.083,889.408,84.928,0.341072
172,2019-01-02 19:00:00,2.991,196.973,2.028,166.894,1.385,161.667,-14.828,889.75,83.349,0.339651
173,2019-01-02 19:15:00,3.133,182.867,2.143,155.682,1.769,154.533,-13.672,890.412,85.696,0.345335
174,2019-01-02 19:30:00,3.014,186.2,1.855,151.464,1.466,143.8,-12.953,890.121,84.224,0.341072
175,2019-01-02 19:45:00,2.096,183.467,1.406,142.04,1.384,135.867,-12.686,890.062,84.288,0.341072
176,2019-01-02 20:00:00,1.858,182.233,1.762,138.513,1.745,125.367,-12.686,889.867,82.816,0.341072
177,2019-01-02 20:15:00,1.472,185.44,1.139,124.251,1.169,116.0,-13.428,890.0,82.571,0.341072
178,2019-01-02 20:30:00,2.163,179.647,1.346,123.272,1.361,116.0,-13.449,889.858,83.883,0.356704
179,2019-01-02 20:45:00,2.409,179.2,1.689,123.241,1.774,116.0,-13.003,889.654,84.288,0.342493
180,2019-01-02 21:00:00,2.325,171.267,2.041,115.95,2.343,110.0,-13.136,889.933,83.243,0.342493
181,2019-01-02 21:15:00,2.301,170.1,2.03,129.024,1.941,124.633,-13.922,890.396,82.261,0.343914
182,2019-01-02 21:30:00,2.209,173.9,1.858,143.758,1.975,126.933,-13.983,889.767,83.221,0.345335
183,2019-01-02 21:45:00,1.988,184.833,0.544,137.429,1.704,134.067,-14.099,890.125,84.416,0.341072
184,2019-01-02 22:00:00,2.657,196.933,1.4,140.836,1.481,133.933,-13.983,890.062,85.717,0.341072
185,2019-01-02 22:15:00,2.147,209.107,0.0,142.482,1.236,139.533,-13.605,890.121,85.931,0.341072
186,2019-01-02 22:30:00,1.753,218.567,0.0,142.635,0.0,140.033,-13.933,889.712,84.971,0.341072
187,2019-01-02 22:45:00,2.37,212.927,0.14,149.417,0.0,140.0,-13.868,889.758,85.376,0.342493
188,2019-01-02 23:00:00,2.194,214.9,0.0,149.492,0.0,139.7,-13.983,889.912,85.013,0.343914
189,2019-01-02 23:15:00,1.646,219.827,0.0,149.546,0.0,140.0,-13.728,889.767,85.44,0.341072
190,2019-01-02 23:30:00,0.402,220.9,0.106,72.928,0.899,92.167,-13.916,890.129,84.331,0.341072
191,2019-01-02 23:45:00,0.0,231.473,0.0,59.104,0.445,65.233,-14.845,890.279,83.072,0.346757
192,2019-01-03 00:00:00,0.0,221.9,0.146,59.117,0.329,65.133,-15.274,889.567,83.84,0.358126
193,2019-01-03 00:15:00,0.948,197.367,0.0,59.502,0.0,65.767,-15.641,889.696,85.291,0.341072
194,2019-01-03 00:30:00,0.894,192.567,0.0,59.927,0.667,75.0,-15.624,889.688,86.635,0.345335
195,2019-01-03 00:45:00,1.423,169.213,0.884,103.148,1.403,114.0,-14.87,889.738,88.427,0.360968
196,2019-01-03 01:00:00,2.027,167.647,1.822,128.689,2.268,118.7,-14.662,889.888,88.149,0.346757
197,2019-01-03 01:15:00,2.77,181.793,2.267,150.367,2.374,145.267,-14.883,889.625,86.144,0.358126
198,2019-01-03 01:30:00,3.277,195.04,2.532,165.038,2.332,158.6,-14.828,890.375,85.781,0.346757
199,2019-01-03 01:45:00,3.115,195.0,2.767,171.142,1.952,149.667,-14.924,890.083,86.229,0.345335
200,2019-01-03 02:00:00,2.404,200.787,1.908,164.865,1.471,135.0,-14.808,889.667,86.4,0.343914
201,2019-01-03 02:15:00,2.299,209.087,1.229,163.916,0.974,145.0,-14.704,889.771,85.589,0.346757
202,2019-01-03 02:30:00,2.283,218.613,1.323,195.421,0.11,145.1,-14.766,890.212,85.739,0.345335
203,2019-01-03 02:45:00,1.047,215.8,0.0,195.522,0.0,145.167,-14.166,890.138,86.229,0.353862
204,2019-01-03 03:00:00,0.947,221.44,0.0,195.57,0.0,145.067,-14.62,889.767,85.141,0.346757
205,2019-01-03 03:15:00,0.212,217.4,0.0,195.46,0.456,119.033,-15.108,889.692,85.376,0.365231
206,2019-01-03 03:30:00,1.304,223.133,0.0,195.475,0.47,96.0,-15.241,890.012,85.035,0.372337
207,2019-01-03 03:45:00,1.004,229.3,0.0,195.426,1.573,96.0,-15.374,889.696,85.397,0.358126
208,2019-01-03 04:00:00,0.0,231.427,0.0,104.256,1.851,93.133,-14.999,889.708,85.483,0.28849
209,2019-01-03 04:15:00,0.0,231.0,0.24,104.241,2.213,94.9,-15.291,889.967,85.269,0.197537
210,2019-01-03 04:30:00,0.0,231.3,0.027,104.257,1.22,100.033,-15.341,890.188,85.461,0.235198
211,2019-01-03 04:45:00,0.133,231.033,0.03,104.21,1.032,109.033,-15.274,889.967,85.419,0.370916
212,2019-01-03 05:00:00,0.0,226.467,0.0,106.347,0.702,138.3,-15.058,890.121,85.568,0.296306
213,2019-01-03 05:15:00,0.896,225.2,0.671,159.929,1.754,137.933,-15.241,889.95,85.952,0.172668
214,2019-01-03 05:30:00,1.896,235.933,1.199,199.48,1.357,180.733,-15.124,890.1,85.589,0.314781
215,2019-01-03 05:45:00,1.875,243.933,1.257,215.439,0.864,179.533,-15.274,889.733,85.589,0.368074
216,2019-01-03 06:00:00,1.927,243.0,0.213,220.493,0.0,182.0,-15.824,889.95,84.992,0.349599
217,2019-01-03 06:15:00,2.871,238.127,1.303,231.215,0.504,186.733,-15.788,889.954,84.608,0.349599
218,2019-01-03 06:30:00,2.95,239.2,1.121,245.54,0.0,211.967,-16.681,889.721,84.245,0.348178
219,2019-01-03 06:45:00,2.279,245.327,0.868,248.484,0.0,212.0,-15.955,889.988,84.907,0.356704
220,2019-01-03 07:00:00,2.469,242.367,1.35,282.269,0.546,244.4,-16.424,890.412,83.712,0.359547
221,2019-01-03 07:15:00,2.867,245.133,1.427,285.439,0.38,280.067,-15.874,890.05,84.619,0.35102
222,2019-01-03 07:30:00,2.512,248.273,1.368,286.222,0.493,280.0,-16.467,889.975,83.552,0.345335
223,2019-01-03 07:45:00,2.31,236.753,0.0,288.926,0.0,280.0,-16.446,890.029,83.627,0.349599
224,2019-01-03 08:00:00,2.358,229.04,0.0,288.904,0.0,280.0,-16.254,889.688,83.392,0.35102
225,2019-01-03 08:15:00,2.26,213.233,0.0,288.656,0.0,278.8,-15.608,889.8,84.267,0.355283
226,2019-01-03 08:30:00,1.387,199.967,0.073,180.513,0.207,179.0,-15.241,890.338,84.331,0.378021
227,2019-01-03 08:45:00,2.105,220.32,0.0,180.463,0.0,179.0,-15.969,890.25,83.371,0.352441
228,2019-01-03 09:00:00,2.773,220.207,0.0,180.425,0.027,179.033,-15.934,889.792,83.221,0.348178
229,2019-01-03 09:15:00,2.779,209.227,0.777,212.474,1.389,189.333,-15.955,890.388,83.008,0.369495
230,2019-01-03 09:30:00,3.292,211.9,1.574,193.02,2.368,173.667,-14.974,889.792,83.968,0.305544
231,2019-01-03 09:45:00,2.811,210.38,1.126,191.216,2.263,171.7,-14.887,889.975,82.645,0.208907
232,2019-01-03 10:00:00,2.084,210.14,2.215,169.518,2.336,143.467,-15.534,889.917,80.128,0.202511
233,2019-01-03 10:15:00,0.523,243.633,0.0,116.639,0.253,113.033,-17.398,889.825,74.624,0.129323
234,2019-01-03 10:30:00,0.0,309.133,2.115,39.122,1.799,56.679,-15.008,889.892,80.757,0.135008
235,2019-01-03 10:45:00,0.95,39.733,2.567,35.111,2.311,54.167,-14.066,889.65,80.192,0.270015
236,2019-01-03 11:00:00,0.393,20.279,2.117,33.85,2.24,53.833,-13.945,889.558,76.672,0.53932
237,2019-01-03 11:15:00,0.623,21.324,2.055,43.729,2.285,68.3,-13.981,889.658,75.2,0.839179
238,2019-01-03 11:30:00,0.717,75.0,2.168,82.068,2.712,103.567,-13.186,889.575,73.739,0.769544
239,2019-01-03 11:45:00,1.533,102.3,1.724,100.097,2.316,103.1,-12.97,890.1,70.112,0.434867
240,2019-01-03 12:00:00,1.313,105.033,1.554,99.722,2.009,101.667,-13.103,889.5,69.333,0.149219
241,2019-01-03 12:15:00,1.797,88.073,1.814,91.4,1.869,99.033,-12.266,889.808,68.331,0.254383
242,2019-01-03 12:30:00,2.19,85.827,2.278,83.678,2.342,90.167,-12.016,889.983,67.979,0.382285
243,2019-01-03 12:45:00,2.796,87.7,2.757,87.724,2.664,98.1,-12.266,889.775,70.091,0.368074
